voc_externalratingcommentsid,Overall Negative,Overall Neutral,Overall Positive,Sentence Sentiment,Sentence Positive,Sentence Neutral,Sentence Negative,Target,Assessment,Sentence,Overall Sentiment Score,Document Sentiment
3482A662-B705-EF11-9F89-0022489DE34D,0.01,0.06,0.94,positive,0.94,0.05,0.01,Hotel,Tolles,"\nGENERAL: Tolles Hotel wir waren das 6.mal da ?? Hatten ein Meerblick Zimmer im 8 Stock ,super Ausblick und ruhiges Zimmer. ",0.93,positive
46A7637A-1CFA-EE11-A1FE-0022489AE2FC,0.02,0.2,0.79,positive,0.58,0.41,0.02,Personal,zuvorkommendes,\nSERVICE: Sehr zuvorkommendes Personal.,0.77,positive
45619798-1BEF-EE11-904B-000D3A64D480,0.65,0.19,0.16,negative,0,0.01,0.99,crisis management,poor,"We paid for it months in advance, and then such poor crisis management. ",-0.49,mixed
5A19C172-31FA-EE11-A1FE-002248A2F5F4,0,0.02,0.98,positive,0.99,0.01,0,Anlage,saubere,Sehr saubere Anlage.,0.98,positive
2A9CAD7A-1FFA-EE11-A1FE-0022489AE2FC,0.31,0.18,0.52,neutral,0.19,0.78,0.02,Kissen,verbesserungswürdig,Bett und Kissen sind verbesserungswürdig.,0.21,mixed
A10F1788-5BD7-EE11-904C-000D3A67B052,0.01,0.1,0.89,positive,0.77,0.22,0.01,Hotel,Traum,HOTEL: Mega Hotel sehr für Familien mit Kindern geeignet / ein Traum für unsere Mäuse.,0.88,positive
1AF027ED-1AD9-EE11-904B-002248A3D3C7,0,0.02,0.97,neutral,0.04,0.95,0.01,Empty,Empty,Flüge.,0.97,positive
B976750F-F105-EF11-9F89-0022489E0DA9,0.01,0.03,0.97,positive,0.94,0.05,0.01,Animation,gut,Auch die Animation war gut und genau richtig.,0.96,positive
C9385CD6-9C05-EF11-9F89-0022489CFF41,0.01,0.09,0.9,positive,0.98,0.01,0,Familien-Suite,geräumig,"Familien-Suite war sehr geräumig, alles was sauber und ordentlich. ",0.89,positive
E758EEE2-2AFA-EE11-A1FE-0022489EDBA9,0.01,0.11,0.89,neutral,0.11,0.86,0.03,Service,Schnelle und hilfreiche Bearbeitung von Anliegen und Fragen,Vieles ist von Heraklion zu erreichen.\nSERVICE: All unsere Fragen wurden beantwortet und unsere Anliegen umgehend bearbeitet.,0.88,positive
51CD9AD9-3BFA-EE11-A1FE-0022489AE2FC,0.18,0.16,0.66,neutral,0.01,0.98,0.01,Brot,gut,Brot usw.,0.48,mixed
40AAE860-9BE9-EE11-904C-002248A3DC4F,0.44,0.27,0.29,neutral,0.02,0.49,0.48,Gerichte,zu hoch eingestuft,"Nun klagen wir unser Recht ein, denn A ist der Meinung das die Gerichte in München die Frankfurtertabelle als zu hoch einstufen.",-0.15,mixed
795762BD-6905-EF11-9F89-000D3ABA505B,0.01,0.15,0.84,positive,0.84,0.15,0.01,Personal,freundlich,"Das Einen Ausflug kann man nach Hughada oder Safaga machen\nSERVICE: Das Personal ist freundlich und immer sehr hilfsbereit\nROOM: die Zimmer sind von der Größe her gut, in den Betten kann man gut schlafen",0.83,positive
422F6467-D205-EF11-9F89-000D3AB2FDDD,0.06,0.25,0.68,positive,0.64,0.34,0.01,Veysi,freundlich,"Gleich am Eingang zum Restaurant stand Veysi, der uns sofort erkannt und freundlich begrüßt hat. ",0.62,mixed
66CD7A4D-D205-EF11-9F89-000D3ABA505B,0,0.02,0.98,positive,0.98,0.02,0,Zimmer,Saubere,"\nGENERAL: Sehr Saubere Zimmer top, Swimmingpool gut obwohl keine Duschen in der nähe nur vier duschen am strand sonst tip top",0.98,positive
30F9530E-9CFF-EE11-9F89-6045BDDF0E33,0.49,0.26,0.25,neutral,0.06,0.92,0.02,Punkte,"angesprochenen, sorgfältig prüfen",Aus diesem Grund werden wir die angesprochenen Punkte sorgfältig prüfen und Ihnen schnellstmöglich eine entsprechende Rückmeldung geben.,-0.24,mixed
5AB3D7F3-9C05-EF11-9F89-000D3AB47452,0.06,0.25,0.68,neutral,0.23,0.75,0.02,Freunde,positiv,"Man hat das Gefühl, dass man Freunde wieder trifft. ",0.62,mixed
8A321AE5-36FA-EE11-A1FE-0022489AE2FC,0.01,0.19,0.8,positive,0.74,0.25,0.01,Hotel,sehr gut,Alle im Hotel sprechen sehr gut deutsch.,0.79,positive
A00A216B-32FA-EE11-A1FE-0022489AE2FC,0.33,0.14,0.53,positive,0.51,0.48,0.01,Leihauto,empfehlen,Leihauto sehr zu empfehlen den Kreta muss man mit dem Auto erkunden.,0.2,mixed
9411ED0E-9CFF-EE11-9F89-000D3ABA505B,0.75,0.25,0.01,neutral,0.01,0.99,0,A,Mittäter,A deckt Strattaten bei den Reisen und ist somit Mittäter.,-0.74,negative
6E0A01CC-9AD3-EE11-9079-000D3ADC003D,0,0.08,0.92,positive,0.97,0.02,0.01,Empty,Empty,Thank you very much once again.,0.92,positive
B2FE6914-9BDE-EE11-904C-002248A3D195,0.79,0.19,0.02,negative,0.01,0.25,0.75,Buchung,negativ,Eine Buchung bei A haben und werden wir seither nicht mehr tätigen denn Reklamationen werden von A ignoriert und Du als Urlaubsbucher wirst mit dem Übel allein gelassen.,-0.77,negative
A108DF04-A9F4-EE11-A1FD-002248A3D3C7,0.01,0.31,0.67,neutral,0.07,0.93,0.01,Standard,hoch,Hoher Standard.,0.66,positive
9CD53EDC-27FA-EE11-A1FE-0022489EDBA9,0.22,0.15,0.63,positive,0.78,0.2,0.02,Zimmer,sauber,"Supermärkte direkt in der Nähe\nSERVICE: Superfreundlich, hilfsbereit und wer da was zu meckern hat, dem kann man nicht helfen.\nROOM: Zimmer normale Größe, aber sauber und ordentlich. ",0.41,mixed
795C2E2C-B0F4-EE11-A1FD-000D3A6834B4,0.02,0.1,0.88,neutral,0.48,0.48,0.04,Hotel,Gutes,"\nHOTEL: Gutes Hotel in Conil, schöne Lage, guter Service, in der Nebensaison zu empfehlen (Kapazitäten, Ablauf), leider etwas langweilig (Aktivitäten, besonders für größere Kinder)\nFOOD: Im Prinzip war immer alles vorhanden, wenn etwas gerade nicht da war (z.B. Hähnchen am Abend weil es nur andere Tiere gab), dann wurde es extra angefertigt. ",0.86,positive
7A7A1466-9BE9-EE11-904C-0022489ED1EB,0.43,0.31,0.26,negative,0.01,0.16,0.84,Besichtigungspaket,nicht vollständig buchbar,"Bedingt durch den verkürzten Aufenthalt an Bord des Schiffes, war es laut Auskunft des Reiseleiters auch nicht möglich, das Besichtigungspaket für 260 Euro in der Gesamtheit zu buchen zu buchen, da unter anderem die Besichtigungen in Luxor und Tal der Könige zu der Zeit terminiert waren, wo wir uns bereits auf der Rückreise befanden.",-0.17,mixed
40AAE860-9BE9-EE11-904C-002248A3DC4F,0.44,0.27,0.29,neutral,0.01,0.93,0.06,Entschädigung,angemessen,"Dies entspricht einer Entschädigung von 7,80.- pro Person und Tag. ",-0.15,mixed
DB988011-2A05-EF11-9F89-0022489CFF41,0.02,0.02,0.96,positive,0.98,0.01,0,Personal,freundlich,"\nGENERAL: Schönes Hotel, Personal sehr freundlich, alles sauber und Hotel zentral gelegen aber dennoch ruhig.",0.94,positive
422F6467-D205-EF11-9F89-000D3AB2FDDD,0.06,0.25,0.68,neutral,0.09,0.89,0.02,Eis,positiv,Am Nachmittag haben wir uns immer ein Eis geholt.,0.62,mixed
47736E77-B705-EF11-9F89-000D3AB03A02,0.06,0.25,0.68,neutral,0.02,0.97,0.01,Gäste,aufmerksam,"Bei ihm merkt man, dass er darauf achtet, in welcher Reihenfolge die Gäste eintrudeln und versucht sie dementsprechend zu bedienen. ",0.62,mixed
EB0AADD4-9C05-EF11-9F89-000D3AB2FDDD,0.29,0.17,0.54,positive,0.89,0.09,0.01,Zimmer,sauber,"Auch ohne das man Trinkgeld gibt.\nROOM: Das Zimmer war sehr groß und sauber, die Minibar reichlich gefüllt. ",0.25,mixed
C1A58BD8-9C05-EF11-9F89-0022489DE34D,0.01,0.08,0.91,positive,0.99,0.01,0,Personal,Hervorzuheben,"Hervorzuheben ist das immer sehr freundliche Personal, das alle Wünsche erfüllt. ",0.9,positive
83D3D368-22FA-EE11-A1FE-0022489EDBA9,0.65,0.07,0.28,positive,0.93,0.06,0.01,Restaurants,freundlich,"In den Restaurants, am Empfang und den Bars alle sehr freundlich. ",-0.37,mixed
ACEC1DF0-32FA-EE11-A1FE-002248A2F5F4,0.01,0.09,0.9,neutral,0.34,0.65,0.01,Besuch,positiv,Mal hier gewesen und kommen bereits im Sommer wieder,0.89,positive
7C5BB4E6-9C05-EF11-9F89-7C1E522142B7,0.34,0.27,0.39,neutral,0.14,0.82,0.04,Getränke,nicht immer verfügbar,"\nGENERAL: Alle sind sehr nett und freundlich\nFOOD: Eiswürfel und bestimmte Getränke wie z.b campari sind oft nicht da und wenn, dann sind es die günstigen lokalen Alternativen\nSERVICE: Man hilft sofort\nROOM: Man muss natürlich wissen, dass die 5 Sterne Ladeskategorie sind und nicht vergleichbar sind mit einem 5 Sterne Hotel in Deutschland. ",0.05,mixed
47736E77-B705-EF11-9F89-000D3AB03A02,0.06,0.25,0.68,neutral,0.48,0.5,0.02,Dilek,nette,"Dilek hat mich wieder erkannnt und hatte immer ein paar nette Worte, auch, wenn sie uns im Hotel gesehen hat. ",0.62,mixed
A8CCF866-9BE9-EE11-904C-002248A3DC4F,0.01,0.1,0.89,positive,0.85,0.14,0.01,A,Danke,Danke A,0.88,positive
6432F8DD-B6F4-EE11-A1FD-000D3A6834B4,0.01,0.12,0.86,positive,0.77,0.22,0.01,Ferienwohnung,komfortable,\nHOTEL: Wir hatten eine schöne und komfortable Ferienwohnung.,0.85,positive
D7B3026A-29FA-EE11-A1FE-002248A2F5F4,0.01,0.22,0.78,neutral,0.01,0.98,0.01,Empty,Empty,ausgetauscht.,0.77,positive
16BD248B-1BEF-EE11-904B-002248A3D3C7,0.74,0.25,0.01,negative,0,0.02,0.98,Infomappe,aktualisiert,Leider wurde die Infomappe nicht aktualisiert und es kam auch keine weitere Mail über die Änderungen.,-0.73,negative
2E63AD08-34FA-EE11-A1FE-0022489AE2FC,0.17,0.26,0.57,neutral,0.04,0.95,0.01,Salat,reichhaltigem,"Über frisch zubereitete Speisen, reichhaltigem Salat sowie Vorspeisen und Nachtischbuffet wird hier aber auch alles aufgefahren. ",0.4,mixed
2B5EA549-D205-EF11-9F89-0022489DE34D,0.01,0.09,0.9,positive,0.99,0.01,0,Pools,abwechslungsreich,"Tolle Pools, sehr abwechslungsreich. ",0.89,positive
13296015-1DFA-EE11-A1FE-0022489AE2FC,0.01,0.09,0.9,positive,0.98,0.02,0,Lage,schöne,Die Lage ist direkt am Strand und schöne weitläufig.,0.89,positive
990B0252-D205-EF11-9F89-000D3ADD6772,0.01,0.17,0.82,positive,0.76,0.23,0.01,Abkühlung,willkommene,"Meer super warm, Pool willkommene Abkühlung, nicht zu heiß für Ausflüge",0.81,positive
76059157-4B05-EF11-9F89-000D3ABA505B,0,0.01,0.99,positive,0.99,0.01,0,Essen,gutes,"\nGENERAL: Rundum zufrieden, gutes Essen, das Personal wahnsinnig freundlich, kinderfreundlich, tolles Abendprogramm.",0.99,positive
0B14EA7A-5ED7-EE11-904C-000D3A67B052,0.01,0.04,0.95,positive,0.99,0.01,0,Hotel,schönes,HOTEL: Sehr schönes Hotel mit toller Anlage und genialem Riff welches über den flach abfallenden Sandstrand direkt zugänglich ist.,0.94,positive
87D936EC-38FA-EE11-A1FE-002248A3D195,0.31,0.13,0.56,negative,0,0.03,0.97,Rezeption,ungünstig,"Was auch bisschen ungünstig war, dass uns am Anfang an der Rezeption nichts erklärt wurde und wir erst nochmal kommen mussten, um nachzufragen wann zB Essenszeiten sind. ",0.25,mixed
595FD8B0-3205-EF11-9F89-6045BDDF0E33,0.07,0.14,0.79,positive,0.77,0.2,0.03,Hotel,großartig,\nGENERAL: Das Hotel ist wirklich großartig.,0.72,mixed
4279A0AE-3205-EF11-9F89-0022489DE34D,0.03,0.1,0.87,positive,1,0,0,Anlage,Schöne,"Schöne Anlage, sehr nettes Personal, qualitativ hochwertiges und abwechslungsreiches Essen. ",0.84,positive
7F2F0D7E-2AFA-EE11-A1FE-002248A2F5F4,0.33,0.07,0.6,neutral,0.04,0.95,0.01,Zimmer,sauber,"Großzügige Zimmer, mit schlichtem Komfort.Sehr sauber und gepflegt.\nFOOD: Leckere griechische Küche, umfangreiche Büffetts, 2 Spezialitätenrestaurants, schön angerichtet und sauber.\nSPORT: Außerordentlich für Sportliebhaber.Beheiztes 50- und 25-Meter-WettkampfbeckenGym draußen und drinnenHallenbadTennisplätzePaddle-TennisMehrzwecksplätzealles intakt und gepflegt!!!",0.27,mixed
559FF60F-9BDE-EE11-904C-0022489ED1EB,0.46,0.27,0.28,negative,0.01,0.28,0.71,Pool,benutzbar,"Als wir von einem Ausflug zurück kamen und uns entspannt an den Hotelpool legen wollten,hörten wir laute Stemmarbeiten einer Baustelle in einem ca. 20 meter Luftlinie entferntem,nebenliegenden Gebäudes.Somit war der Pool faktisch nicht benutzbar.",-0.18,mixed
FAE953D2-44D7-EE11-904C-000D3A67B052,0.19,0.2,0.61,positive,0.99,0.01,0,Preis-Leistung,super,Preis-Leistung war super!,0.42,mixed
FAE953D2-44D7-EE11-904C-000D3A67B052,0.19,0.2,0.61,positive,0.99,0.01,0,Preis-Leistung,super,Preis-Leistung war super!,0.42,mixed
FAE953D2-44D7-EE11-904C-000D3A67B052,0.19,0.2,0.61,positive,0.98,0.02,0,Service,gut,"Das Essen war sehr gut, wie auch der Service des Personals. ",0.42,mixed
67A1C25A-8305-EF11-9F89-000D3ABA505B,0.15,0.12,0.73,positive,0.97,0.02,0,Essen,lecker,Das Essen sehr lecker und abwechslungsreich.,0.58,mixed
16BD248B-1BEF-EE11-904B-002248A3D3C7,0.74,0.25,0.01,neutral,0.02,0.96,0.01,Infomappe,wichtig für Abhol- und Flugzeiten,"Wir wurden darum gebeten, die Infomappe bezüglich der Abhol- und Flugzeiten an der Rezeption im Auge zu behalten und wir über mögliche Änderungen informiert werden.",-0.73,negative
647D9481-5BD7-EE11-904C-000D3A67B052,0,0.01,0.99,positive,0.99,0.01,0,hotel,spaß,HOTEL: Das hotel hat sehr viel spaß gemacht ich fande das pool war sehr sauber das aquapark war sehr cool und das essen war sehr lecker ich fande die mitarbeiter sehr nett am meisten bekir und okan wir werden aufjeden fall wieder kommen sehr gutes hotel,0.99,positive
876D7356-47D7-EE11-904C-000D3A67B052,0.01,0.16,0.83,neutral,0.02,0.97,0.01,Strandnähe,unmittelbar,In unmittelbarer Strandnähe.,0.82,positive
24807B2A-63D7-EE11-904C-000D3A67B052,0.01,0.02,0.98,positive,0.99,0.01,0,Anlage,gepflegte," HOTEL: Sehr schöne, gepflegte Anlage, immer freundliches Personal . ",0.97,positive
7E7FF843-3EFA-EE11-A1FE-0022489AE2FC,0.01,0.22,0.76,positive,0.64,0.33,0.03,Betten,guten,"Verschiedene Ausflugsmöglichkeiten liegen mit Bus oder Auto in überschaubarer Nähe .\nSERVICE: Sehr freundliches und hilfsbereites Personal ,hoch motiviert,auch wenn der Dienst schon Stunden dauerte... - haben wir zuvor so noch nicht erlebt\nROOM: Eigene Terrasse,geräumiges Zimmer mit sehr guten Betten, Fernseher und Klimaanlage-roßes Bad.Wir haben gut geschlafen , keine Störungen durch andere Hotelgäste ",0.75,positive
A00A216B-32FA-EE11-A1FE-0022489AE2FC,0.33,0.14,0.53,negative,0.03,0.16,0.82,Geht,gar nicht,Geht gar nicht!!!,0.2,mixed
EBC52714-1DFA-EE11-A1FE-002248A3D195,0.01,0.12,0.87,positive,0.98,0.02,0,Hotel,super,"\nHOTEL: Dieses Hotel ist super und, wir sind mit allem sehr zufrieden. ",0.86,positive
E1695770-A8F4-EE11-A1FD-000D3A6834B4,0,0.01,0.98,positive,0.98,0.01,0,Personal,freundliches,"\nHOTEL: Sehr gutes Hotelzimmer, super freundliches Personal, gutes Essen und top Lage.das Hotel liegt direkt am Strand und gleichzeitig hat man es 5 Minuten zu Fuß zu den großen Basars. ",0.98,positive
B8EF0D59-D205-EF11-9F89-002248A040F5,0.34,0.27,0.39,neutral,0.08,0.87,0.05,Service,schnelle Reparatur,Man muss aber sagen dass der Service dann sofort kam und repariert hat.,0.05,mixed
5C21AF08-9CFF-EE11-9F89-7C1E52217B47,0.76,0.18,0.06,negative,0.01,0.3,0.68,A,keine Unterstützung,Aucune prise en charge de A qui n’a aucun représentant sur place.,-0.7,negative
34E37F01-37FA-EE11-A1FE-002248A3D195,0.14,0.15,0.71,positive,0.99,0,0,Anlage,schöne,"Sehr gutes Essen, schöne Anlage, sehr gute Zimmer und Ausstattung! ",0.57,mixed
71CADD62-3BFA-EE11-A1FE-0022489AE2FC,0.01,0.12,0.87,neutral,0.09,0.83,0.08,Team,bärenstark,Auch das gesamte Team beim Italiener war bärenstark.,0.86,positive
65767017-F105-EF11-9F89-6045BDDDFB2D,0.05,0.33,0.62,positive,0.57,0.38,0.05,Zimmer,moderne,"Beim Essen musste man sich zumindest keine Sorgen um eine Infektion machen, alles frisch, eine gute Auswahl und sehr lecker.\nFOOD: Gute Auswahl, lecker, schön angerichtet, abwechslungsreich\nSPORT: immer eine Möglichkeit was zu unternehmen, Animation leistet tolle Arbeit\nLOCATION: Schöne Lage, nicht weit zum Strand, Shoppen direkt vor der Tür möglich\nSERVICE: Etwas aufdringlich, man muss nein sagen können\nROOM: Geräumige, moderne Zimmer",0.57,positive
833D47C6-4B05-EF11-9F89-6045BDDF0E33,0.01,0.06,0.94,positive,0.94,0.05,0.01,Zimmer,ruhiges,"\nGENERAL: Tolles Hotel wir waren das 6.mal da ?? Hatten ein Meerblick Zimmer im 8 Stock ,super Ausblick und ruhiges Zimmer. ",0.93,positive
6A007DF9-A1FF-EE11-9F89-6045BDDF0E33,0.01,0.14,0.84,neutral,0.39,0.59,0.02,Bedienung,schnelle,"Ab Mittag fringe Waffeln und Eis auch am Strand\nFOOD: Nettes und zuvorkommendes Personal, schnelle Bedienung, immer sauber und immer ausreichend für alle Gäste\nSERVICE: Unsere Wünsche wurden stehts zu vollen Zufriedenheit erfüllt",0.83,positive
E31E6099-F005-EF11-9F89-0022489E0DA9,0.01,0.08,0.91,positive,0.99,0.01,0,Hotel,sauber,Ein sauber geführtes schönes Hotel.,0.9,positive
FE5A9D8C-A2F4-EE11-A1FD-002248A3D3C7,0.01,0.08,0.91,positive,0.93,0.06,0.01,Personal,aufmerksames,\nHOTEL: Absolut aufmerksames und freundliches Personal.,0.9,positive
E969FCE4-B0FF-EE11-9F89-000D3AB55801,0.02,0.16,0.82,positive,0.99,0,0,Urlaub,Toller,Toller Urlaub!,0.8,positive
A9D2997B-5BD7-EE11-904C-000D3A67B052,0.02,0.25,0.74,positive,0.96,0.03,0.01,Söhne,begeistert,Meine Söhne und ich sind begeistert.,0.72,positive
B98DD8D6-4B05-EF11-9F89-0022489DE34D,0.34,0.27,0.39,negative,0.03,0.46,0.51,Animation,schleppend,Die Animation ist jetzt am Anfang der Saison noch schleppend und kann die Leute irgendwie nicht so richtig begeistern.,0.05,mixed
EB0AADD4-9C05-EF11-9F89-000D3AB2FDDD,0.29,0.17,0.54,neutral,0.01,0.91,0.08,Wege,kurz,Wege waren dennoch kurz.,0.25,mixed
7F6C879E-1C05-EF11-9F89-0022489DE34D,0.01,0.1,0.89,positive,0.6,0.37,0.03,Sommer,positiv,Kommen aufjedenfall nochmal im Sommer!!,0.88,positive
D7481DB7-62D7-EE11-904C-000D3A67B052,0.01,0.08,0.91,positive,0.95,0.05,0.01,Grünanlage,super," HOTEL: Hotel hat eine super Lage direkt am Strand, welchen man durch die hoteleigene Grünanlage super erreicht. ",0.9,positive
580DDB55-39FA-EE11-A1FE-002248A2F5F4,0,0.05,0.95,neutral,0.02,0.76,0.22,Warteschlangen,negativ,Es gab Warteschlangen und enge Gänge.,0.95,positive
CF9F6537-F105-EF11-9F89-0022489E0DA9,0.15,0.12,0.73,neutral,0.03,0.95,0.02,Diabetiker und glutenfrei,gesorgt,Auch für Diabetiker und Glutenfrei ist gesorgt.,0.58,mixed
EEAE03D1-6BD7-EE11-904C-000D3A67B052,0.11,0.19,0.7,neutral,0.46,0.51,0.02,HOTEL,gutes,HOTEL: Schon bei der Ankunft hat man ein gutes Gefühl.,0.59,mixed
A4867AE6-1AD9-EE11-904B-002248A3D195,0.18,0.72,0.1,neutral,0.02,0.75,0.23,Vermittlerfirmen,unwichtig,"Heutzutage einfach nicht mehr über Vermittlerfirmen buchen, denn dann kann man jede Email mit Terms and Conditions beantworten und Tschüss unwichtiger Kunde.",-0.08,neutral
CF3A51E9-F005-EF11-9F89-0022489E0DA9,0.01,0.05,0.94,neutral,0.1,0.88,0.02,Hotel,seit 15 Jahren besucht (positiv),\nGENERAL: Wir besuchen dieses Hotel bereits seit 15 Jahren (mind. 1 Mal pro Jahr).,0.93,positive
C2C6A28A-26FA-EE11-A1FE-002248A3D195,0.01,0.23,0.76,positive,0.76,0.23,0.01,Baie Lazare,wunderschönen,"\nHOTEL: Sehr gepflegtes Strandhotel mit schönen, renovierten Zimmern und freundlichen Personal am wunderschönen Baie Lazare.",0.75,positive
