age,sex,region,travel_type_long,stars,board1,Cluster
69.0,0,Kanaren,Pauschalreise,3.0,AllInclusive,0
60.0,0,Kanaren,Pauschalreise,4.0,AllInclusive,0
54.0,1,New York,Pauschalreise,4.0,Breakfast,0
44.0,1,Balearen,Pauschalreise,4.0,HalfBoard,0
39.0,0,Kanaren,Pauschalreise,4.0,HalfBoard,0
62.0,1,Kanaren,Pauschalreise,4.0,AllInclusive,0
76.0,1,Kanaren,Pauschalreise,4.0,AllInclusive,0
65.0,0,Kanaren,Pauschalreise,4.0,Breakfast,0
72.0,0,Balearen,Pauschalreise,4.5,HalfBoard,0
29.0,1,Kanaren,Pauschalreise,3.0,AllInclusive,0
60.0,0,Ägäis,Pauschalreise,4.0,AllInclusive,0
50.0,1,Kanaren,Pauschalreise,3.0,AllInclusive,0
44.0,1,Kanaren,Pauschalreise,4.0,HalfBoard,0
60.0,0,Balearen,Pauschalreise,4.0,HalfBoardPlus,0
54.0,1,Ägäis,Pauschalreise,5.0,AllInclusiveUltra,2
77.0,0,Balearen,Selbstfahrer,4.5,Breakfast,1
25.0,1,Kanaren,Pauschalreise,4.0,AllInclusive,0
44.0,0,Ägäis,Pauschalreise,5.0,AllInclusive,2
54.0,0,Balearen,Pauschalreise,4.0,Breakfast,0
21.0,1,Balearen,Pauschalreise,3.0,Breakfast,0
32.0,1,Balearen,Pauschalreise,2.0,AllInclusive,0
49.0,0,Balearen,Pauschalreise,4.0,HalfBoard,0
46.0,1,Kanaren,Pauschalreise,4.0,HalfBoardPlus,0
27.0,1,Kanaren,Pauschalreise,4.0,AllInclusiveUltra,2
28.0,0,Balearen,Selbstfahrer,3.0,Breakfast,1
59.0,1,Kanaren,Pauschalreise,4.0,HalfBoard,0
52.0,0,Balearen,Selbstfahrer,3.5,HalfBoard,1
48.0,0,Ägäis,Pauschalreise,5.0,AllInclusiveUltra,2
30.0,0,California,Selbstfahrer,3.0,Breakfast,1
52.0,0,Utah,Selbstfahrer,3.0,Breakfast,1
16.0,1,Balearen,Pauschalreise,3.0,HalfBoard,0
62.0,1,Balearen,Pauschalreise,3.0,HalfBoard,0
56.0,1,Balearen,Selbstfahrer,3.0,AllInclusive,1
53.0,0,Kanaren,Pauschalreise,4.0,AllInclusive,0
56.0,0,Kanaren,Pauschalreise,4.0,AllInclusive,0
22.0,1,Balearen,Pauschalreise,3.0,HalfBoard,0
79.0,0,Kanaren,Pauschalreise,3.0,HalfBoardPlus,0
36.0,1,Ägäis,Pauschalreise,4.0,AllInclusive,0
40.0,1,Kanaren,Pauschalreise,4.0,AllInclusive,0
59.0,1,Kanaren,Pauschalreise,4.0,HalfBoard,0
74.0,0,Kanaren,Pauschalreise,3.0,Breakfast,0
35.0,1,Balearen,Pauschalreise,4.0,HalfBoard,0
27.0,1,Balearen,Pauschalreise,4.0,AllInclusive,0
64.0,1,Balearen,Pauschalreise,4.0,HalfBoard,0
67.0,1,Kanaren,Pauschalreise,4.0,HalfBoard,0
43.0,1,Ägäis,Pauschalreise,4.0,AllInclusive,0
50.0,1,Kanaren,Pauschalreise,4.0,AllInclusive,0
60.0,1,Kanaren,Pauschalreise,3.0,HalfBoard,0
41.0,0,Kanaren,Pauschalreise,4.0,AllInclusive,0
60.0,0,Kanaren,Pauschalreise,4.0,AllInclusive,0
75.0,0,Balearen,Pauschalreise,4.0,AllInclusive,0
74.0,0,Kanaren,Pauschalreise,4.0,HalfBoard,0
69.0,0,Kanaren,Pauschalreise,4.0,AllInclusive,0
36.0,0,Balearen,Pauschalreise,3.0,HalfBoardPlus,0
69.0,1,Ägäis,Pauschalreise,5.0,AllInclusiveUltra,2
41.0,1,Kanaren,Pauschalreise,4.0,AllInclusive,0
43.0,1,Balearen,Pauschalreise,4.0,HalfBoard,0
26.0,0,Kanaren,Pauschalreise,4.0,AllInclusive,0
70.0,0,Ägäis,Pauschalreise,5.0,AllInclusiveUltra,2
48.0,0,Balearen,Pauschalreise,4.0,HalfBoard,0
60.0,0,Ägäis,Pauschalreise,5.0,AllInclusiveUltra,2
40.0,1,Kanaren,Pauschalreise,3.0,HalfBoard,0
40.0,0,Balearen,Pauschalreise,4.0,HalfBoard,0
30.0,0,Balearen,Selbstfahrer,4.0,HalfBoard,1
64.0,1,Kanaren,Pauschalreise,4.0,AllInclusive,0
59.0,1,Kanaren,Pauschalreise,3.0,AllInclusive,0
80.0,1,Ägäis,Pauschalreise,4.0,AllInclusive,0
39.0,0,Kanaren,Pauschalreise,5.0,AllInclusive,0
66.0,0,Kanaren,Pauschalreise,4.0,HalfBoard,0
53.0,0,Balearen,Pauschalreise,4.0,AllInclusive,0
61.0,0,Ägäis,Pauschalreise,5.0,AllInclusiveUltra,2
33.0,0,Kanaren,Pauschalreise,4.0,HalfBoard,0
52.0,1,Ägäis,Pauschalreise,5.0,AllInclusiveUltra,2
66.0,1,Kanaren,Pauschalreise,4.0,AllInclusive,0
35.0,0,Kanaren,Pauschalreise,4.0,HalfBoard,0
58.0,0,Kanaren,Pauschalreise,4.0,AllInclusive,0
78.0,1,Ägäis,Pauschalreise,3.0,Breakfast,0
43.0,0,Balearen,Pauschalreise,4.0,AllInclusiveUltra,2
44.0,1,Balearen,Pauschalreise,4.0,AllInclusive,0
39.0,1,Kanaren,Pauschalreise,4.0,AllInclusive,0
29.0,0,Ägäis,Selbstfahrer,5.0,AllInclusiveUltra,2
76.0,0,Balearen,Selbstfahrer,4.0,HalfBoard,1
31.0,1,Balearen,Pauschalreise,3.0,HalfBoard,0
33.0,0,Ägäis,Pauschalreise,4.0,AllInclusive,0
30.0,0,Balearen,Pauschalreise,4.0,HalfBoard,0
68.0,0,Ägäis,Pauschalreise,5.0,AllInclusiveUltra,2
70.0,0,Kanaren,Pauschalreise,4.0,AllInclusive,0
59.0,0,Ägäis,Pauschalreise,5.0,HalfBoard,2
62.0,0,Balearen,Selbstfahrer,4.0,Breakfast,1
36.0,1,Kanaren,Pauschalreise,4.0,AllInclusive,0
38.0,1,Balearen,Selbstfahrer,4.0,HalfBoard,1
56.0,1,Kanaren,Pauschalreise,4.0,HalfBoard,0
33.0,0,Balearen,Selbstfahrer,3.0,Breakfast,1
50.0,0,Ägäis,Pauschalreise,5.0,AllInclusiveUltra,2
56.0,1,Balearen,Pauschalreise,4.0,Breakfast,0
55.0,1,Balearen,Pauschalreise,4.0,Breakfast,0
60.0,1,Ägäis,Pauschalreise,5.0,AllInclusiveUltra,2
84.0,1,Balearen,Pauschalreise,4.0,HalfBoard,0
48.0,0,Kanaren,Pauschalreise,4.0,HalfBoard,0
44.0,0,Kanaren,Pauschalreise,4.0,HalfBoard,0
81.0,1,Balearen,Selbstfahrer,4.0,Breakfast,1
38.0,1,Kanaren,Pauschalreise,4.0,AllInclusive,0
26.0,0,Ägäis,Pauschalreise,5.0,AllInclusiveUltra,2
55.0,1,Kanaren,Pauschalreise,3.0,HalfBoard,0
59.0,0,Balearen,Pauschalreise,4.0,HalfBoard,0
23.0,1,Balearen,Pauschalreise,3.0,AllInclusive,0
32.0,0,Ägäis,Selbstfahrer,4.0,AllInclusiveUltra,2
51.0,1,Balearen,Pauschalreise,4.0,AllInclusive,0
33.0,1,Ägäis,Pauschalreise,5.0,AllInclusiveUltra,2
71.0,0,Balearen,Pauschalreise,4.0,AllInclusive,0
40.0,1,Balearen,Pauschalreise,4.0,HalfBoard,0
33.0,0,Kanaren,Pauschalreise,4.0,AllInclusive,0
37.0,0,Kanaren,Pauschalreise,4.0,HalfBoard,0
71.0,0,Balearen,Pauschalreise,4.5,HalfBoard,0
49.0,1,Kanaren,Pauschalreise,4.0,HalfBoard,0
34.0,1,Kanaren,Pauschalreise,3.0,Breakfast,0
42.0,0,Ägäis,Pauschalreise,5.0,AllInclusiveUltra,2
24.0,0,Ägäis,Pauschalreise,5.0,AllInclusiveUltra,2
68.0,1,Kanaren,Pauschalreise,4.0,AllInclusive,0
44.0,0,Balearen,Pauschalreise,4.0,AllInclusive,0
89.0,1,Balearen,Pauschalreise,4.0,AllInclusive,0
41.0,1,Utah,Selbstfahrer,3.0,Breakfast,1
23.0,1,Ägäis,Pauschalreise,4.0,AllInclusive,0
58.0,1,Balearen,Pauschalreise,5.0,Breakfast,0
49.0,0,Kanaren,Pauschalreise,4.0,AllInclusive,0
50.0,1,Balearen,Pauschalreise,4.0,Breakfast,0
76.0,1,Kanaren,Pauschalreise,4.0,Breakfast,0
65.0,1,Kanaren,Pauschalreise,4.0,AllInclusive,0
70.0,0,Balearen,Pauschalreise,4.5,HalfBoard,0
58.0,0,Balearen,Pauschalreise,4.0,AllInclusive,0
64.0,1,New York,Selbstfahrer,3.0,Breakfast,1
53.0,0,Kanaren,Pauschalreise,4.0,HalfBoard,0
57.0,0,Balearen,Pauschalreise,4.0,Breakfast,0
63.0,0,Balearen,Pauschalreise,3.0,HalfBoardPlus,0
34.0,1,Balearen,Pauschalreise,3.0,HalfBoard,0
67.0,0,Kanaren,Pauschalreise,4.0,AllInclusive,0
51.0,0,Balearen,Pauschalreise,4.0,HalfBoard,0
25.0,1,Kanaren,Pauschalreise,4.0,AllInclusive,0
57.0,1,Kanaren,Pauschalreise,4.0,AllInclusive,0
78.0,0,Kanaren,Pauschalreise,4.0,AllInclusive,0
39.0,0,Ägäis,Pauschalreise,4.0,Breakfast,0
48.0,1,Ägäis,Pauschalreise,4.0,AllInclusive,0
23.0,0,Balearen,Pauschalreise,4.0,HalfBoard,0
23.0,1,Ägäis,Pauschalreise,4.0,AllInclusive,0
70.0,1,Balearen,Pauschalreise,4.0,AllInclusive,0
52.0,0,Ägäis,Selbstfahrer,4.0,AllInclusiveUltra,2
65.0,0,California,Selbstfahrer,2.0,Breakfast,1
33.0,0,Kanaren,Pauschalreise,4.0,AllInclusive,0
61.0,0,Kanaren,Pauschalreise,4.0,AllInclusive,0
46.0,1,Balearen,Pauschalreise,4.0,HalfBoard,0
22.0,1,Kanaren,Pauschalreise,4.0,HalfBoard,0
61.0,1,Kanaren,Pauschalreise,3.0,Breakfast,0
48.0,1,Balearen,Pauschalreise,4.0,HalfBoard,0
59.0,1,Balearen,Pauschalreise,3.0,Breakfast,0
80.0,1,Ägäis,Selbstfahrer,3.0,Breakfast,1
31.0,0,Ägäis,Selbstfahrer,5.0,HalfBoard,1
59.0,0,Kanaren,Pauschalreise,4.0,AllInclusive,0
54.0,1,Balearen,Pauschalreise,5.0,Breakfast,0
25.0,0,Balearen,Pauschalreise,3.0,Breakfast,0
54.0,0,Kanaren,Pauschalreise,3.0,AllInclusive,0
74.0,0,Balearen,Pauschalreise,4.0,HalfBoard,0
55.0,0,Ägäis,Pauschalreise,5.0,AllInclusiveUltra,2
70.0,0,Kanaren,Pauschalreise,4.0,HalfBoard,0
47.0,1,Ägäis,Pauschalreise,5.0,AllInclusiveUltra,2
59.0,1,Kanaren,Pauschalreise,4.0,HalfBoard,0
49.0,0,Balearen,Pauschalreise,4.0,AllInclusive,0
71.0,1,Kanaren,Pauschalreise,3.0,HalfBoard,0
42.0,1,Ägäis,Pauschalreise,5.0,HalfBoard,2
81.0,0,Kanaren,Pauschalreise,5.0,AllInclusive,0
68.0,0,Kanaren,Pauschalreise,4.0,HalfBoard,0
63.0,0,Kanaren,Pauschalreise,4.0,AllInclusive,0
47.0,1,Kanaren,Pauschalreise,4.0,HalfBoard,0
57.0,0,Kanaren,Pauschalreise,4.0,HalfBoard,0
53.0,1,Florida,Selbstfahrer,3.0,Breakfast,1
76.0,1,Balearen,Pauschalreise,4.5,HalfBoard,0
73.0,1,Kanaren,Pauschalreise,4.0,AllInclusive,0
40.0,0,Balearen,Pauschalreise,3.0,AllInclusive,0
61.0,0,Kanaren,Pauschalreise,3.0,Breakfast,0
58.0,1,Balearen,Pauschalreise,4.5,Breakfast,0
66.0,0,Balearen,Pauschalreise,5.0,HalfBoard,0
29.0,0,Kanaren,Pauschalreise,5.0,AllInclusive,0
63.0,0,Balearen,Pauschalreise,4.0,AllInclusive,0
29.0,0,Balearen,Pauschalreise,4.0,AllInclusive,0
53.0,1,Balearen,Pauschalreise,3.0,AllInclusive,0
78.0,1,Kanaren,Pauschalreise,4.0,AllInclusive,0
73.0,1,Kanaren,Pauschalreise,4.0,HalfBoard,0
46.0,0,Kanaren,Pauschalreise,3.0,AllInclusive,0
69.0,0,Kanaren,Pauschalreise,4.0,AllInclusive,0
33.0,0,Balearen,Pauschalreise,4.0,AllInclusive,0
49.0,0,New York,Pauschalreise,3.5,Breakfast,0
38.0,1,Balearen,Pauschalreise,4.0,HalfBoard,0
34.0,0,Ägäis,Pauschalreise,4.0,AllInclusive,0
80.0,0,Balearen,Pauschalreise,5.0,HalfBoard,0
28.0,0,Utah,Selbstfahrer,2.0,Breakfast,1
45.0,1,Kanaren,Pauschalreise,4.0,HalfBoard,0
67.0,1,Kanaren,Pauschalreise,4.0,HalfBoard,0
62.0,0,Balearen,Pauschalreise,4.0,HalfBoard,0
43.0,1,Ägäis,Selbstfahrer,5.0,AllInclusiveUltra,2
54.0,1,Balearen,Pauschalreise,4.0,Breakfast,0
72.0,1,Ägäis,Pauschalreise,5.0,AllInclusive,2
40.0,0,Ägäis,Pauschalreise,4.0,AllInclusiveUltra,2
68.0,1,Quebec,Selbstfahrer,3.0,Breakfast,1
73.0,0,Ägäis,Pauschalreise,5.0,AllInclusive,2
40.0,0,Ägäis,Selbstfahrer,5.0,AllInclusiveUltra,2
56.0,0,Balearen,Pauschalreise,4.5,HalfBoard,0
48.0,0,Kanaren,Pauschalreise,4.0,AllInclusive,0
36.0,0,Ägäis,Pauschalreise,3.0,AllInclusive,0
63.0,0,Ägäis,Selbstfahrer,5.0,AllInclusiveUltra,2
43.0,1,Ägäis,Selbstfahrer,5.0,Breakfast,1
51.0,1,Balearen,Pauschalreise,3.0,HalfBoard,0
52.0,0,Kanaren,Pauschalreise,3.0,AllInclusive,0
61.0,0,Kanaren,Pauschalreise,3.0,AllInclusive,0
65.0,0,Balearen,Pauschalreise,4.5,HalfBoard,0
67.0,0,Balearen,Pauschalreise,5.0,HalfBoard,0
46.0,1,Kanaren,Pauschalreise,4.0,AllInclusive,0
43.0,1,Ägäis,Pauschalreise,3.0,HalfBoard,0
61.0,1,Balearen,Pauschalreise,4.0,HalfBoard,0
46.0,0,Kanaren,Pauschalreise,4.0,AllInclusive,0
30.0,0,Balearen,Pauschalreise,4.0,AllInclusive,0
64.0,0,Kanaren,Pauschalreise,4.0,AllInclusive,0
45.0,1,Ägäis,Pauschalreise,4.0,AllInclusiveUltra,2
44.0,0,Kanaren,Pauschalreise,5.0,AllInclusive,0
52.0,0,Balearen,Pauschalreise,4.0,HalfBoard,0
36.0,0,Kanaren,Pauschalreise,4.0,AllInclusive,0
39.0,1,Balearen,Pauschalreise,4.0,AllInclusive,0
56.0,1,Kanaren,Pauschalreise,4.0,AllInclusive,0
58.0,0,Balearen,Pauschalreise,4.0,HalfBoard,0
56.0,1,Ägäis,Pauschalreise,5.0,AllInclusive,2
55.0,1,Kanaren,Pauschalreise,5.0,HalfBoard,0
33.0,0,Balearen,Pauschalreise,3.0,HalfBoard,0
50.0,0,Balearen,Pauschalreise,4.0,AllInclusive,0
39.0,0,Balearen,Pauschalreise,2.0,AllInclusive,0
60.0,1,Balearen,Pauschalreise,4.0,HalfBoard,0
63.0,1,Balearen,Pauschalreise,4.0,HalfBoardPlus,0
38.0,1,Balearen,Pauschalreise,3.0,HalfBoard,0
68.0,0,Kanaren,Pauschalreise,4.0,HalfBoard,0
41.0,0,Balearen,Pauschalreise,3.5,HalfBoard,0
57.0,1,Kanaren,Pauschalreise,4.0,AllInclusive,0
54.0,0,Kanaren,Pauschalreise,3.0,AllInclusive,0
45.0,0,Kanaren,Pauschalreise,4.0,AllInclusive,0
37.0,1,Ägäis,Selbstfahrer,4.0,Breakfast,1
64.0,1,Balearen,Pauschalreise,4.0,HalfBoard,0
52.0,0,Balearen,Pauschalreise,4.0,HalfBoard,0
21.0,1,Balearen,Pauschalreise,4.0,Breakfast,0
37.0,0,Balearen,Pauschalreise,4.0,AllInclusive,0
36.0,0,Balearen,Pauschalreise,4.0,AllInclusive,0
62.0,0,Kanaren,Pauschalreise,4.0,AllInclusive,0
48.0,0,Florida,Selbstfahrer,3.0,Breakfast,1
51.0,0,Balearen,Pauschalreise,5.0,Breakfast,0
59.0,0,Kanaren,Pauschalreise,4.0,AllInclusive,0
72.0,0,Kanaren,Pauschalreise,4.0,HalfBoard,0
53.0,0,Kanaren,Pauschalreise,2.0,HalfBoard,0
67.0,0,Balearen,Pauschalreise,4.0,AllInclusive,0
31.0,1,Kanaren,Pauschalreise,4.0,AllInclusive,0
72.0,1,Kanaren,Pauschalreise,3.0,AllInclusive,0
51.0,1,Kanaren,Pauschalreise,4.0,HalfBoard,0
56.0,0,Kanaren,Pauschalreise,4.0,HalfBoard,0
53.0,1,Balearen,Pauschalreise,4.0,HalfBoard,0
56.0,0,Kanaren,Pauschalreise,3.0,HalfBoard,0
80.0,0,Balearen,Pauschalreise,4.5,HalfBoard,0
29.0,1,Kanaren,Pauschalreise,4.0,AllInclusive,0
57.0,1,Kanaren,Pauschalreise,4.0,AllInclusive,0
70.0,0,Kanaren,Pauschalreise,4.0,HalfBoard,0
49.0,1,Kanaren,Pauschalreise,5.0,AllInclusive,0
56.0,0,Kanaren,Selbstfahrer,4.0,HalfBoard,1
74.0,1,Balearen,Pauschalreise,4.0,HalfBoard,0
66.0,1,Balearen,Pauschalreise,4.0,HalfBoard,0
69.0,0,Balearen,Pauschalreise,4.0,AllInclusive,0
21.0,0,Kanaren,Pauschalreise,4.0,AllInclusive,0
62.0,1,Balearen,Pauschalreise,4.0,AllInclusive,0
66.0,1,Balearen,Selbstfahrer,3.0,HalfBoard,1
47.0,0,Ägäis,Pauschalreise,5.0,AllInclusiveUltra,2
